date,price,earnings,trailing_pe,cape
1955.1,42.11,3.5,12.031428571428572,17.772325789386088
1955.11,44.95,3.56,12.626404494382022,18.83555928827389
1955.12,45.37,3.62,12.533149171270717,18.94236903581357
1956.01,44.15,3.64333,12.118034874688814,18.292585385418892
1956.02,44.43,3.66667,12.117261711580262,18.266116815127777
1956.03,47.49,3.69,12.869918699186993,19.371210099299958
1956.04,48.05,3.66,13.128415300546447,19.370593634578498
1956.05,46.54,3.63,12.820936639118457,18.544506591754434
1956.06,46.27,3.6,12.852777777777778,18.158163846958697
1956.07,48.78,3.55333,13.727967849876032,18.856797596896786
1956.08,48.49,3.50667,13.82793362363724,18.670937110186422
1956.09,46.84,3.46,13.537572254335261,17.83664079631202
1956.1,46.24,3.44333,13.428861015354324,17.41895294863613
1956.11,45.76,3.42667,13.354072612769832,17.120339736628257
1956.12,46.44,3.41,13.618768328445746,17.197522725560923
1957.01,45.43,3.40667,13.335603389820557,16.717780078533007
1957.02,43.47,3.40333,12.772784302433205,15.843733142229743
1957.03,44.03,3.4,12.950000000000001,15.900417108869165
1957.04,45.05,3.40667,13.224057510706935,16.123704360211754
1957.05,46.78,3.41333,13.705091508878427,16.59811078911426
1957.06,47.55,3.42,13.903508771929824,16.729918872472865
1957.07,48.51,3.43667,14.115408229477953,16.868882383979795
1957.08,45.84,3.45333,13.274144087011669,15.868942729452241
1957.09,43.98,3.47,12.674351585014408,15.15727448896221
1957.1,41.24,3.43667,11.999988360826032,14.149451489483534
1957.11,40.35,3.40333,11.85603511854566,13.73624223529848
1957.12,40.33,3.37,11.967359050445102,13.673246057951383
1958.01,41.12,3.29333,12.485842597006677,13.788431552307634
1958.02,41.26,3.21667,12.826929713026203,13.784906390337678
1958.03,42.11,3.14,13.410828025477706,13.925589923892938
1958.04,42.34,3.07,13.791530944625409,13.913501765262778
1958.05,43.7,3.0,14.566666666666668,14.32382496840923
1958.06,44.75,2.93,15.273037542662115,14.635555551956267
1958.07,45.98,2.91333,15.782626753577519,14.957457101901133
1958.08,47.7,2.89667,16.467184732813887,15.544566891165923
1958.09,48.96,2.88,17.0,15.931923184092845
1958.1,50.95,2.88333,17.670540659584578,16.559803310351572
1958.11,52.5,2.88667,18.18704597338802,16.988883579386336
1958.12,53.49,2.89,18.508650519031143,17.35835736536996
1959.01,55.62,2.96333,18.76942493748587,17.98033934299339
1959.02,54.77,3.03667,18.036204131499307,17.759169263611422
1959.03,56.16,3.11,18.057877813504824,18.200871845485636
1959.04,57.1,3.20667,17.806634296637945,18.430753048783426
1959.05,57.96,3.30333,17.545930924249166,18.692721439594187
1959.06,57.46,3.4,16.900000000000002,18.44859139706648
1959.07,59.74,3.41,17.519061583577713,19.090533975796514
1959.08,59.4,3.42,17.36842105263158,18.95880364075021
1959.09,57.05,3.43,16.632653061224488,18.12329055675862
1959.1,57.0,3.41667,16.682910553257997,18.02196244151543
1959.11,57.23,3.40333,16.815883267270586,18.07178913057022
1959.12,59.06,3.39,17.421828908554573,18.624728977900112
1960.01,58.03,3.39,17.117994100294986,18.338284994375567
1960.02,55.78,3.39,16.454277286135692,17.54527510894598
1960.03,55.02,3.39,16.23008849557522,17.286020720522153
1960.04,55.73,3.34667,16.652373852217277,17.429766947597205
1960.05,55.22,3.30333,16.71646490057003,17.25617057872792
1960.06,57.26,3.26,17.564417177914113,17.823363817264745
1960.07,55.84,3.26333,17.111355578504167,17.376806472898117
1960.08,56.51,3.26667,17.298961939834754,17.582113039577674
1960.09,54.81,3.27,16.761467889908257,17.052015467817665
1960.1,53.73,3.27,16.431192660550458,16.605104536251027
1960.11,55.47,3.27,16.96330275229358,17.146088452419004
1960.12,56.8,3.27,17.370030581039753,17.562090833957125
1961.01,59.72,3.21,18.60436137071651,18.470416986477176
1961.02,62.17,3.15,19.736507936507937,19.234014498298354
1961.03,64.12,3.09,20.750809061488674,19.84422527272557
1961.04,65.83,3.07,21.44299674267101,20.38284297575478
1961.05,66.5,3.05,21.803278688524593,20.598606843297347
1961.06,65.62,3.03,21.65676567656766,20.332414551592294
1961.07,65.44,3.03667,21.54992146002035,20.146643736827325
1961.08,67.79,3.04333,22.274942250758215,20.941688475215194
1961.09,67.26,3.05,22.052459016393446,20.70524304414726
1961.1,68.0,3.09667,21.959072164615538,20.92419014101079
1961.11,71.08,3.14333,22.61296141353278,21.857957721959675
1961.12,71.74,3.19,22.489028213166144,22.041480198382267
1962.01,69.07,3.25,21.25230769230769,21.19793140001523
1962.02,70.22,3.31,21.214501510574017,21.451687754873376
1962.03,70.29,3.37,20.857566765578635,21.44315856852624
1962.04,68.05,3.40333,19.995122424213932,20.658336447649038
