Jahr;Damodaran_Branche;Trailing_KGV;Forward_KGV
2019;Furn/Home Furnishings;36.53;13.89
2019;Green & Renewable Energy;16.64;28.64
2019;Healthcare Products;87.6;68.15
2019;Healthcare Support Services;38.68;20.1
2019;Heathcare Information and Technology;195.14;35.22
2019;Homebuilding;10.45;8.04
2019;Hospitals/Healthcare Facilities;17.87;19.72
2019;Hotel/Gaming;17.27;20.98
2019;Household Products;40.46;17.84
2019;Information Services;34.03;44.55
2019;Insurance (General);18.82;20.58
2019;Insurance (Life);10.78;46.98
2019;Insurance (Prop/Cas.);18.25;18.13
2019;Investments & Asset Management;29.8;10.8
2019;Machinery;25.33;15.83
2019;Metals & Mining;43.79;12.78
2019;Office Equipment & Services;17.4;9.85
2019;Oil/Gas (Integrated);12.96;13.17
2019;Oil/Gas (Production and Exploration);22.08;11.3
2019;Oil/Gas Distribution;55.4;28.28
2019;Oilfield Svcs/Equip.;21.75;28.95
2019;Packaging & Container;17.57;12.55
2019;Paper/Forest Products;33.35;11.22
2019;Power;23.03;18.21
2019;Precious Metals;263.95;62.73
2019;Publishing & Newspapers;37.88;20.81
2019;R.E.I.T.;36.58;46.58
2019;Real Estate (Development);13.73;18.63
2019;Real Estate (General/Diversified);21.51;52.89
2019;Real Estate (Operations & Services);18.37;13.29
2019;Recreation;21.26;20.58
2019;Reinsurance;7.52;14.51
2019;Restaurant/Dining;30.27;24.88
2019;Retail (Automotive);11.74;13.35
2019;Retail (Building Supply);27.48;14.51
2019;Retail (Distributors);18.93;13.72
2019;Retail (General);18.48;16.25
2019;Retail (Grocery and Food);12.67;19.04
2019;Retail (Online);38.96;38.14
2019;Retail (Special Lines);15.49;14.18
2019;Rubber& Tires;28.85;10.22
2019;Semiconductor;77.82;26.87
2019;Semiconductor Equip;17.63;16.66
2019;Shipbuilding & Marine;7.79;9.91
2019;Shoe;30.1;18.55
2019;Software (Entertainment);48.65;74.45
2019;Software (Internet);70.27;121.85
2019;Software (System & Application);109.84;92.14
2019;Steel;6.67;8.15
2019;Telecom (Wireless);11.58;29.41
2019;Telecom. Equipment;51.47;32.06
2019;Telecom. Services;21.22;61.14
2019;Tobacco;17.11;13.8
2019;Transportation;17.67;13.28
2019;Transportation (Railroads);35.65;15.54
2019;Trucking;8.56;12.26
2019;Utility (General);17.9;18.81
2019;Utility (Water);76.63;32.51
2019;Total Market;35.33;26.91
2019;Total Market (without financials);36.26;29.67
2020;Advertising;23.77126452;13.8373321
2020;Aerospace/Defense;44.2645417;22.90964236
2020;Air Transport;10.54942247;10.15894732
2020;Apparel;54.57223938;21.9667505
2020;Auto & Truck;16.76369679;20.52191276
2020;Auto Parts;17.58040276;15.63244176
2020;Bank (Money Center);10.22652485;12.17468731
2020;Banks (Regional);15.40696154;13.70034075
2020;Beverage (Alcoholic);38.69106302;36.32066291
2020;Beverage (Soft);39.86898263;143.5589271
2020;Broadcasting;8.55694295;12.22686386
2020;Brokerage & Investment Banking;18.04954541;16.33932938
2020;Building Materials;25.41755701;19.94933417
2020;Business & Consumer Services;47.53833193;21.99815807
2020;Cable TV;80.57198359;26.37304445
2020;Chemical (Basic);16.11017453;22.42418208
2020;Chemical (Diversified);10.48037633;10.12536118
2020;Chemical (Specialty);25.33832554;18.5074473
2020;Coal & Related Energy;10.29573167;7.043973024
2020;Computer Services;29.1332048;24.96255069
2020;Computers/Peripherals;28.91867687;30.92549768
2020;Construction Supplies;39.58093682;26.20276194
2020;Diversified;22.7751588;34.71969794
2020;Drugs (Biotechnology);77.55560882;30.2076202
2020;Drugs (Pharmaceutical);58.18354141;35.4280616
2020;Education;22.19564;26.0267367
2020;Electrical Equipment;29.84977452;21.47226642
2020;Electronics (Consumer & Office);64.23576854;18.80442081
2020;Electronics (General);125.8236254;35.0045119
2020;Engineering/Construction;18.70761785;17.06569811
2020;Entertainment;47.68399889;40.24677234
2020;Environmental & Waste Services;735.0487844;38.41859395
2020;Farming/Agriculture;73.1893748;25.4491612
2020;Financial Svcs. (Non-bank & Insurance);83.00451884;16.93046857
2020;Food Processing;42.25438254;43.93546394
2020;Food Wholesalers;47.9826274;19.14215811
2020;Furn/Home Furnishings;14.7932714;15.72309295
2020;Green & Renewable Energy;26.23468169;71.38413089
2020;Healthcare Products;84.42618676;71.38170923
2020;Healthcare Support Services;51.6405258;25.30130946
2020;Heathcare Information and Technology;99.81072772;83.80737618
2020;Homebuilding;16.26090276;13.04901173
2020;Hospitals/Healthcare Facilities;38.93764172;26.9430218
2020;Hotel/Gaming;134.2044691;22.75476054
2020;Household Products;33.22769382;20.55648136
2020;Information Services;46.22702228;27.99702762
2020;Insurance (General);67.57180218;24.42192461
2020;Insurance (Life);21.05216021;66.71906033
2020;Insurance (Prop/Cas.);29.59684252;26.74661212
2020;Investments & Asset Management;79.93659958;12.93860704
2020;Machinery;36.09832278;21.15928618
2020;Metals & Mining;727.0962734;27.9279704
2020;Office Equipment & Services;34.53464251;11.73172716
2020;Oil/Gas (Integrated);22.67209961;31.98787431
2020;Oil/Gas (Production and Exploration);8.66001991;34.96175393
2020;Oil/Gas Distribution;69.40697454;16.77651723
2020;Oilfield Svcs/Equip.;25.43844596;22.4524454
2020;Packaging & Container;20.60885717;15.90449874
2020;Paper/Forest Products;24.91748737;18.73013499
2020;Power;23.73691461;20.15879336
2020;Precious Metals;76.84467499;36.19595898
2020;Publishing & Newspapers;28.04954629;23.5908167
2020;R.E.I.T.;48.00087018;61.60404703
2020;Real Estate (Development);48.48671318;21.50259067
2020;Real Estate (General/Diversified);110.2108117;11.52651129
2020;Real Estate (Operations & Services);32.45852129;33.98671431
